method,sample_index,repeat,latency_ms,returned
d_dense_control,42,0,19.439700059592724,5
d_mmr_1.0_10,66,0,19.913799944333732,5
d_mmr_1.0_10,42,0,19.051300012506545,5
d_mmr_1.0_10,4,2,16.59229991491884,5
BM25,80,2,17.633100040256977,5
d_threshold_0.3,3,1,24.504900095053017,5
BM25,7,1,18.330099992454052,5
d_mmr_1.0_10,91,0,22.671099985018373,5
d_mmr_1.0_10,1,0,20.649899961426854,5
Hybrid,40,1,36.614299984648824,5
d_mmr_1.0_10,23,2,19.825299968943,5
d_threshold_0.3,48,0,20.370200043544173,5
Hybrid,53,0,39.09310000017285,5
d_dense_control,37,0,17.97929999884218,5
d_threshold_0.3,96,1,18.277399940416217,5
d_dense_control,91,0,20.262900041416287,5
d_mmr_1.0_10,19,0,21.766100078821182,5
d_mmr_1.0_10,59,2,20.24320000782609,5
Hybrid,30,0,34.76589999627322,5
Hybrid,41,0,38.76340005081147,5
BM25,56,2,17.559600062668324,5
BM25,58,2,15.347299980930984,5
Hybrid,42,2,37.473400007002056,5
Hybrid,75,0,37.6184000633657,5
d_mmr_1.0_10,49,0,20.23140003439039,5
d_threshold_0.3,11,2,22.924999939277768,5
d_threshold_0.3,24,0,33.936899970285594,5
d_mmr_1.0_10,5,2,20.91740001924336,5
BM25,98,2,17.217299900949,5
Hybrid,0,0,41.03039996698499,5
d_dense_control,48,0,21.334800054319203,5
Hybrid,23,2,36.432099994271994,5
BM25,48,0,16.77620003465563,5
d_mmr_1.0_10,41,2,20.948699908331037,5
d_dense_control,68,2,18.28910002950579,5
BM25,86,1,17.970999935641885,5
d_dense_control,74,0,18.851400003768504,5
BM25,58,0,17.98979996237904,5
d_dense_control,83,0,20.29050001874566,5
Hybrid,34,2,34.92640005424619,5
d_dense_control,85,0,19.459999981336296,5
d_threshold_0.3,2,2,19.363800063729286,5
BM25,11,2,17.221599933691323,5
BM25,23,0,18.510699970647693,5
Hybrid,27,1,38.954999996349216,5
d_mmr_1.0_10,64,2,18.2293999241665,5
Hybrid,2,0,36.78369999397546,5
BM25,32,1,18.74369999859482,5
d_dense_control,98,1,22.8538999799639,5
d_threshold_0.3,22,1,31.706799985840917,5
d_dense_control,43,2,27.144799940288067,5
BM25,77,2,19.40300001297146,5
d_threshold_0.3,10,2,22.938000038266182,5
BM25,80,1,19.916399964131415,5
d_threshold_0.3,63,0,23.951899958774447,5
Hybrid,42,1,40.564200025983155,5
Hybrid,92,2,39.541699923574924,5
d_mmr_1.0_10,0,2,22.16029993724078,5
Hybrid,20,1,37.94559999369085,5
d_threshold_0.3,42,1,21.43269998487085,5
BM25,49,2,16.655399929732084,5
Hybrid,22,0,39.68330007046461,5
d_mmr_1.0_10,27,1,20.762700005434453,5
d_threshold_0.3,51,1,21.52800001204014,5
d_mmr_1.0_10,9,1,19.01479996740818,5
