method,query_id,k,recall,hit_rate,all_evidence_hit,evidence_coverage,mrr,ndcg
bm25,43,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,43,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,43,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,43,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,43,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,44,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,44,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,44,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,44,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,44,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,45,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,45,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,45,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,45,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,45,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,46,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,46,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,46,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,46,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,46,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,47,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,47,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,47,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,47,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,47,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,48,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,48,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,48,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,48,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,48,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,49,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,49,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,49,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,49,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,49,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,50,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,50,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,50,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,50,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,50,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,54,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,54,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,54,5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,54,10,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,54,20,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,56,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,56,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,56,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,56,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,56,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,57,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,57,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,57,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,57,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,57,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,58,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,58,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,58,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,58,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,58,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,59,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,59,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,59,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,59,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,59,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,60,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,60,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,60,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,60,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,60,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,61,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,61,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,61,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,61,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,61,20,1.0,1.0,1.0,1.0,0.07692307692307693,0.26264953503719357
bm25,62,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,62,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,62,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,62,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,62,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,63,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,63,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,63,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,63,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,63,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,65,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,65,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,65,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,65,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,65,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,66,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,66,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,66,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,66,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,66,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,67,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,67,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,67,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,67,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,67,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,68,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,68,3,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,68,5,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,68,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,68,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
bm25,69,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,69,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,69,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,69,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,69,20,1.0,1.0,1.0,1.0,0.058823529411764705,0.23981246656813146
bm25,70,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,70,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,70,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,70,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,70,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,71,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,71,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,71,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,71,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,71,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,72,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,72,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,72,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,72,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,72,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,73,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,73,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,73,5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,73,10,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,73,20,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
bm25,74,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,74,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,74,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,74,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,74,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,75,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,75,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,75,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,75,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,75,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,77,1,0.0,0.0,0.0,0.0,0.0,0.0
