method,query_id,repeat,latency_ms
bm25,6,0,7.805916015058756
hybrid,78,0,49.14983396884054
hybrid,71,0,40.86558404378593
dense,17,0,11.731958016753197
bm25,70,0,10.737458011135459
dense,69,0,13.475166982971132
hybrid,69,0,37.88812505081296
bm25,71,0,9.88874991890043
hybrid,75,0,32.73483400698751
bm25,40,0,13.52833304554224
hybrid,50,0,43.32054196856916
hybrid,22,0,45.06970790680498
hybrid,35,0,41.14733298774809
dense,6,0,11.575291980989277
dense,93,0,15.269417082890868
bm25,20,0,14.644584036432207
hybrid,40,0,50.90108304284513
bm25,82,0,23.13637500628829
dense,88,0,13.375249924138188
dense,60,0,14.534124988131225
dense,66,0,13.719125068746507
hybrid,25,0,48.54341608006507
bm25,77,0,9.96508402749896
bm25,81,0,5.005249986425042
dense,41,0,16.37066702824086
bm25,97,0,10.743375052697957
bm25,33,0,5.847916007041931
bm25,21,0,6.740125012584031
dense,29,0,13.232166995294392
dense,57,0,14.432542026042938
dense,18,0,11.619374970905483
dense,73,0,13.001790968701243
dense,12,0,12.838541995733976
dense,70,0,15.551374992355704
dense,11,0,13.911833055317402
dense,90,0,12.459290912374854
bm25,94,0,6.897374987602234
hybrid,88,0,32.30695810634643
dense,99,0,13.170834048651159
bm25,79,0,10.00970893073827
dense,95,0,13.880375074222684
bm25,19,0,13.667292078025639
dense,77,0,13.867000001482666
dense,100,0,12.243167031556368
bm25,42,0,16.002999967895448
dense,26,0,17.133041052147746
hybrid,68,0,55.74245797470212
dense,44,0,14.300790964625776
bm25,75,0,7.405665935948491
hybrid,16,0,30.71358404122293
bm25,11,0,13.489041943103075
bm25,56,0,13.30904196947813
bm25,63,0,8.082958054728806
hybrid,48,0,30.241915956139565
dense,81,0,12.826125021092594
hybrid,100,0,41.0145838977769
dense,28,0,15.336291049607098
dense,94,0,15.005416935309768
bm25,3,0,11.39054202940315
bm25,60,0,14.006332959979773
hybrid,82,0,77.17662502545863
hybrid,6,0,35.39262502454221
hybrid,11,0,49.231542041525245
bm25,54,0,10.144541040062904
dense,22,0,13.283708016388118
bm25,89,0,3.249082947149873
dense,78,0,17.280041938647628
dense,48,0,12.174000032246113
dense,31,0,18.34800001233816
bm25,68,0,16.017874935641885
dense,32,0,18.470374983735383
hybrid,1,0,126.81670789606869
dense,20,0,26.82733302935958
dense,14,0,13.709958991967142
bm25,62,0,11.339207994751632
bm25,46,0,12.395541998557746
bm25,59,0,11.016582953743637
hybrid,72,0,29.988583060912788
hybrid,46,0,44.99108297750354
bm25,100,0,9.695832966826856
bm25,73,0,8.40950000565499
dense,8,0,13.332832953892648
bm25,67,0,8.009167038835585
hybrid,8,0,50.88608292862773
hybrid,14,0,36.17041592951864
bm25,18,0,10.132209048606455
bm25,84,0,19.517000066116452
hybrid,98,0,34.45679205469787
hybrid,38,0,35.671208053827286
bm25,27,0,10.91441698372364
bm25,41,0,11.317917029373348
dense,71,0,12.479917029850185
bm25,38,0,8.12787504401058
hybrid,58,0,50.48133397940546
dense,63,0,12.233791057951748
dense,40,0,13.636416057124734
dense,15,0,12.712707975879312
hybrid,37,0,62.2858329443261
dense,27,0,11.841083061881363
hybrid,27,0,41.41004104167223
bm25,58,0,13.82645801641047
hybrid,47,0,41.20583401527256
dense,46,0,13.725709053687751
dense,47,0,13.336417032405734
