method_id,query_id,repeat,latency_ms,returned
b_bm25_tuned,668b927a,1,7.140125031583011,5
a_dense_minilm_500_75,c250208a,3,12.03049998730421,5
hybrid_rrf_75bm25_25dense,a746930b,1,21.489250008016825,5
a_dense_minilm_500_75,a746930b,4,12.84420897718519,5
b_bm25_tuned,2f81464c,1,5.6154580088332295,5
b_bm25_tuned,0cf13966,2,5.843666032887995,5
a_dense_minilm_500_75,f5053c04,3,12.648375006392598,5
a_dense_minilm_500_75,4967917b,3,12.90945801883936,5
hybrid_rrf_75bm25_25dense,21c9dee5,1,20.84866596851498,5
d_threshold_0.3,9b7ebf3e,2,11.806624941527843,5
d_threshold_0.3,b8f2e37f,4,12.661415967158973,5
d_mmr_1.0_10,71f3292e,3,11.320334044285119,5
d_mmr_1.0_10,214c8ab4,3,14.458541059866548,5
b_bm25_tuned,d45d63d3,4,6.106166983954608,5
b_bm25_tuned,2f855a96,1,8.324874914251268,5
b_bm25_tuned,67f0bc2a,3,11.357249924913049,5
b_bm25_tuned,4c4b85fd,4,8.028207928873599,5
d_threshold_0.3,a3f75c4c,0,11.101875104941428,5
d_mmr_1.0_10,9b7ebf3e,4,15.341749996878207,5
a_dense_minilm_500_75,8185bded,0,13.796957908198237,5
b_bm25_tuned,81793c8a,0,5.845458013936877,5
hybrid_rrf_75bm25_25dense,d1fdc0f4,2,23.97099998779595,5
hybrid_rrf_75bm25_25dense,729e9e22,2,19.715624977834523,5
hybrid_rrf_75bm25_25dense,0faa43e5,2,22.98462495673448,5
d_mmr_1.0_10,8185a29f,2,11.072417022660375,5
a_dense_minilm_500_75,f6d8272a,2,11.112667038105428,5
hybrid_rrf_75bm25_25dense,0faa43e5,4,20.156542072072625,5
b_bm25_tuned,166365be,3,1.9422919722273946,5
a_dense_minilm_500_75,25376eba,0,11.302333907224238,5
hybrid_rrf_75bm25_25dense,c37dca0a,2,20.517542026937008,5
d_threshold_0.3,166365be,4,14.72699991427362,5
a_dense_minilm_500_75,6c8d9611,2,16.420750063844025,5
hybrid_rrf_75bm25_25dense,1098a682,0,21.402416052296758,5
a_dense_minilm_500_75,d1fdc0f4,0,12.810416053980589,5
d_mmr_1.0_10,8185a29f,4,8.054665988311172,5
hybrid_rrf_75bm25_25dense,7d96081d,3,20.19745809957385,5
b_bm25_tuned,4b2547f5,0,8.33850004710257,5
d_threshold_0.3,96373e8a,0,12.571125058457255,5
a_dense_minilm_500_75,2b9ff3ae,1,10.244041914120317,5
hybrid_rrf_75bm25_25dense,10a0e925,0,22.48283301014453,5
hybrid_rrf_75bm25_25dense,15b5a805,0,20.109542063437402,5
hybrid_rrf_75bm25_25dense,ff2cf386,2,22.18479197472334,5
b_bm25_tuned,ab7f8163,3,4.011416924186051,5
a_dense_minilm_500_75,a3f75c4c,2,13.74270801898092,5
d_mmr_1.0_10,b9d5a3e0,3,14.19395802076906,5
d_mmr_1.0_10,41f10609,0,12.145042070187628,5
d_mmr_1.0_10,41f10609,1,11.152500053867698,5
b_bm25_tuned,e32c413c,2,5.509792012162507,5
a_dense_minilm_500_75,af3b122c,4,12.38899992313236,5
a_dense_minilm_500_75,037b46e9,4,15.16987499780953,5
d_threshold_0.3,d414f672,0,12.72400002926588,5
hybrid_rrf_75bm25_25dense,b8f2e37f,2,26.405832963064313,5
b_bm25_tuned,2f855a96,3,8.856000029481947,5
a_dense_minilm_500_75,c250208a,2,18.872249987907708,5
d_threshold_0.3,81793c8a,4,25.89729195460677,5
d_mmr_1.0_10,29149a0f,0,10.150459012947977,5
hybrid_rrf_75bm25_25dense,e88ce2d1,4,18.046583980321884,5
